season,name,position,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,form,home_team,away_team
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,2,0,0,0,0,2021-08-14 14:00:00+00:00,0,0,0,0,0,0,15789,2,1,0,0,0,0,0,55,0,1,0,Burnley,Brighton
2021-22,Aaron Connolly,FWD,0,0,-2,0,1.1,72,12,0,0,0.5,0,2021-08-21 16:30:00+00:00,45,0,0,0,0,0,15599,0,2,6,1,-1682,1899,3581,55,0,2,0,Brighton,Watford
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,22,0,0,0,0,2021-08-28 14:00:00+00:00,0,0,0,0,0,0,15457,2,0,0,0,-737,2897,3634,55,0,3,0.05,Brighton,Everton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,32,0,0,0,0,2021-09-11 14:00:00+00:00,0,0,0,0,0,0,12065,1,0,0,0,-3682,1857,5539,54,0,4,0.033,Brentford,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,42,0,0,0,0,2021-09-19 13:00:00+00:00,0,0,0,0,0,0,9659,1,2,0,0,-2548,301,2849,54,0,5,0.025,Brighton,Leicester
2021-22,Aaron Connolly,FWD,0,0,2,0,0.3,72,54,0,0,0.1,0.2,2021-09-27 19:00:00+00:00,14,0,0,0,0,0,9738,1,1,0,1,-232,1187,1419,53,0,6,0.025,Crystal Palace,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,61,0,0,0,0,2021-10-02 16:30:00+00:00,0,0,0,0,0,0,9730,0,0,0,0,-141,936,1077,53,0,7,0.025,Brighton,Arsenal
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,78,0,0,0,0,2021-10-16 14:00:00+00:00,0,0,0,0,0,0,10001,0,0,0,0,89,1245,1156,53,0,8,0.025,Norwich,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,83,0,0,0,0,2021-10-23 16:30:00+00:00,0,0,0,0,0,0,9697,4,1,0,0,-334,743,1077,53,0,9,0.025,Brighton,Man City
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,94,0,0,0,0,2021-10-30 14:00:00+00:00,0,0,0,0,0,0,9552,2,2,0,0,-279,957,1236,53,0,10,0.025,Liverpool,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,103,0,0,0,0,2021-11-06 17:30:00+00:00,0,0,0,0,0,0,9352,1,1,0,0,-290,609,899,53,0,11,0,Brighton,Newcastle
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,111,0,0,0,0,2021-11-20 15:00:00+00:00,0,0,0,0,0,0,9292,0,2,0,0,-156,590,746,53,0,12,0,Aston Villa,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,123,0,0,0,0,2021-11-27 17:30:00+00:00,0,0,0,0,0,0,9061,0,0,0,0,-273,377,650,53,0,13,0,Brighton,Leeds
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,136,0,0,0,0,2021-12-01 19:30:00+00:00,0,0,0,0,0,0,9056,1,1,0,0,-50,389,439,53,0,14,0,West Ham,Brighton
2021-22,Aaron Connolly,FWD,0,0,7,0,10.4,72,146,0,0,2.3,2.2,2021-12-04 15:00:00+00:00,35,0,0,0,0,0,9181,1,1,10,1,91,720,629,53,0,15,0,Southampton,Brighton
2021-22,Aaron Connolly,FWD,0,0,5,0,1.3,72,163,1,0,0.2,0,2021-12-15 19:30:00+00:00,60,0,0,0,0,0,9319,1,0,2,2,240,736,496,53,0,17,0.025,Brighton,Wolves
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,182,0,0,0,0,2021-12-26 20:00:00+00:00,0,0,0,0,0,0,13233,0,2,0,0,1137,1774,637,53,0,19,0.075,Brighton,Brentford
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,193,0,0,0,0,2021-12-29 19:30:00+00:00,0,0,0,0,0,0,10670,1,1,0,0,-218,405,623,53,0,20,0.075,Chelsea,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,205,0,0,0,0,2022-01-02 14:00:00+00:00,0,0,0,0,0,0,10194,3,2,0,0,-388,490,878,53,0,21,0.075,Everton,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,212,0,0,0,0,2022-01-14 20:00:00+00:00,0,0,0,0,0,0,8612,1,1,0,0,-1464,115,1579,53,0,22,0.05,Brighton,Crystal Palace
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,232,0,0,0,0,2022-01-18 20:00:00+00:00,0,0,0,0,0,0,8612,1,1,0,0,-1464,115,1579,53,0,22,0,Brighton,Chelsea
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,227,0,0,0,0,2022-01-23 14:00:00+00:00,0,0,0,0,0,0,8214,1,1,0,0,-623,0,623,53,0,23,0,Leicester,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,250,0,0,0,0,2022-02-12 15:00:00+00:00,0,0,0,0,0,0,7659,2,0,0,0,-169,0,169,53,0,25,0,Watford,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,174,0,0,0,0,2022-02-15 20:15:00+00:00,0,0,0,0,0,0,7659,0,2,0,0,-169,0,169,53,0,25,0,Man Utd,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,253,0,0,0,0,2022-02-19 15:00:00+00:00,0,0,0,0,0,0,7423,3,0,0,0,-220,0,220,53,0,26,0,Brighton,Burnley
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,263,0,0,0,0,2022-02-26 15:00:00+00:00,0,0,0,0,0,0,7264,2,0,0,0,-167,0,167,53,0,27,0,Brighton,Aston Villa
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,276,0,0,0,0,2022-03-05 15:00:00+00:00,0,0,0,0,0,0,7165,1,2,0,0,-124,0,124,53,0,28,0,Newcastle,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,283,0,0,0,0,2022-03-12 12:30:00+00:00,0,0,0,0,0,0,7053,2,0,0,0,-104,0,104,53,0,29,0,Brighton,Liverpool
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,153,0,0,0,0,2022-03-16 19:30:00+00:00,0,0,0,0,0,0,7053,2,0,0,0,-104,0,104,53,0,29,0,Brighton,Spurs
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,301,0,0,0,0,2022-04-02 14:00:00+00:00,0,0,0,0,0,0,6960,0,0,0,0,-62,0,62,53,0,31,0,Brighton,Norwich
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,311,0,0,0,0,2022-04-09 14:00:00+00:00,0,0,0,0,0,0,6930,2,1,0,0,-30,0,30,53,0,32,0,Arsenal,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,327,0,0,0,0,2022-04-16 11:30:00+00:00,0,0,0,0,0,0,6879,1,0,0,0,-47,0,47,53,0,33,0,Spurs,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,295,0,0,0,0,2022-04-20 19:00:00+00:00,0,0,0,0,0,0,6879,0,3,0,0,-47,0,47,53,0,33,0,Man City,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,333,0,0,0,0,2022-04-24 13:00:00+00:00,0,0,0,0,0,0,6838,2,2,0,0,-48,0,48,53,0,34,0,Brighton,Southampton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,350,0,0,0,0,2022-04-30 14:00:00+00:00,0,0,0,0,0,0,6802,3,0,0,0,-37,0,37,53,0,35,0,Wolves,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,353,0,0,0,0,2022-05-07 16:30:00+00:00,0,0,0,0,0,0,6757,0,4,0,0,-42,0,42,53,0,36,0,Brighton,Man Utd
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,363,0,0,0,0,2022-05-15 13:00:00+00:00,0,0,0,0,0,0,6727,1,1,0,0,-31,0,31,53,0,37,0,Leeds,Brighton
2021-22,Aaron Connolly,FWD,0,0,0,0,0,72,373,0,0,0,0,2022-05-22 15:00:00+00:00,0,0,0,0,0,0,6710,1,3,0,0,-20,0,20,53,0,38,0,Brighton,West Ham
2021-22,Aaron Cresswell,DEF,0,0,30,0,17.5,411,9,2,1,9.1,55.8,2021-08-15 13:00:00+00:00,90,0,0,0,0,0,1213434,4,2,18,7,0,0,0,55,0,1,0,Newcastle,West Ham
2021-22,Aaron Cresswell,DEF,0,0,12,0,4.2,411,20,1,0,1.9,8.6,2021-08-23 19:00:00+00:00,90,0,0,0,0,0,1345295,1,4,6,2,21799,76490,54691,55,0,2,0.7,West Ham,Leicester
2021-22,Aaron Cresswell,DEF,1,1,26,0,17.2,411,28,2,0,3.9,20.2,2021-08-28 14:00:00+00:00,90,0,0,0,0,0,1402594,2,2,2,5,24456,117301,92845,55,0,3,0.45,West Ham,Crystal Palace
2021-22,Aaron Cresswell,DEF,0,2,27,1,24.6,411,39,0,0,4.4,10,2021-09-11 14:00:00+00:00,90,0,0,0,0,0,1324980,0,0,9,8,-94228,102407,196635,55,0,4,0.467,Southampton,West Ham
2021-22,Aaron Cresswell,DEF,0,0,15,0,27.3,411,49,2,0,4.3,15.4,2021-09-19 13:00:00+00:00,90,0,0,0,0,0,1265797,2,1,0,1,-69118,53937,123055,55,0,5,0.55,West Ham,Man Utd
